Title,Text
DETAILED DEMANDS FOR GRANTS:,"Respective Ministries/Departments willprepare their Detailed Demands for Grants(DDG). The format of DDG as given in theBudget Circular may be adhered to whilepreparing the DDG. While preparing theDetailed Demands for Grants, it is important toensure that the classification, namely, majorhead, minor head, etc. is as per the heads ofaccount prescribed in the List of Major andMinor Heads of Account. Ministries/Departments shall ensure thatthe totals for each Major Head and the totalprovisions by Revenue and Capital Sections31BUDGET MANUALseparately for ‘charged’ and ‘voted’ includedin the Detailed Demands for Grants, exactlycorrespond to the provisions included in theDemands for Grants which are prepared by theBudget Division. Final print order for DetailedDemands for Grants should be given only afterthe reconciliation is completed. Major-Head number and descriptionmay be indicated at the top right corner of eachpage of Detailed Demands for Grants underthe header line. Detailed Demands for Grants will beaccompanied by the following Schedules/Statements:i. Schedule showing the estimated strengthof establishment and provisions therefor,grouped according to pay scales. Thefigures shown should correspond withthose given for summary statement.ii. Statement showing project-wise provisionfor expenditure on externally aidedprojects.iii. Schedule showing broad details ofnon-scheme expenditure provisions of` 25 lakhs and above.iv. Schedule showing provisions included inBE for payment of grants-in-aid tonon-Government bodies.v. Statement showing details of individualworks and projects costing ` 5 crore orabove.vi. Statement showing revised cost estimatesof projects of public sector enterprisesand departmental undertakings.vii. Statement showing transfer or gift ofGovernment properties of valueexceeding ` 5 lakhs to non-Governmentbodies.viii. Statement showing contributions toInternational bodies provided for in theBudget Estimates. This statement willinclude only items of contribution,membership fees to international bodies,which constitute revenue expenditure.Subscriptions to international bodies,which represent investments and areaccounted for in the capital section, areto be excluded from it.ix. Statement showing guarantee given bythe Central Government and outstandingas on previous financial year.x. Statement showing grants-in-aidexceeding ` 5 lakhs (recurring) or ` 10lakhs (non-recurring) actually sanctionedto private institutions/ organizations/individuals during the yearxi. Statement showing the source of fundsfor grantee bodies receiving grants ofoverxii. ` 10 lakh per year from ConsolidatedFund of India and from other sources(including external sources)xiii. Statement showing Object Head-wisedetails. Statement showing MEP/QEP asdetailed in O.M. No. 12(13)-B(W&M)/2020dated 25 May, 2022 of Ministry of Finance(Annexure - 16) . Major Heads Codes shown in theDetailed Demands for Grants shouldcorrespond to the code in the main Demandsfor Grants. Instructions issued by this Ministry inDecember, 1994 regarding standard numericcodification of heads of accounts may be strictlyadhered to. No new sub-head/detailed headwill be opened and incorporated in the DetailedDemands for Grants without getting necessarynumeric codes assigned therefor from the officeof the Controller General of Accounts.32BUDGET MANUAL Detailed Demands for Grants shall bemandatorily entered by the Ministries/Departments in the UBIS. DDG generated fromUBIS would be fed into PFMS for enablingincurring of expenditure. Uploading of Detailed Demands forGrants on Website: Instructions have beenissued by this Ministry vide O.M. No. 15(38)-B(R)/2008 dated .2008 for uploading theDetailed Demands for Grants on Website of theadministrative Ministry/Department. AllMinistries/Departments may upload the fulldetails of DDG as approved by the Parliamentfor transparency."
Devolution of shareable Taxes and Duties,"as per accepted recommendations ofFinance Commission(i) Article 270 of Constitution of Indiastipulates that All taxes and dutiesreferred to in the Union List, except theduties and taxes referred to in 2 [articles268, 269 and 269A], respectively,surcharge on taxes and duties referredto in article 271 and any cess levied forspecific purposes under any law madeby Parliament shall be levied andcollected by the Government of India andshall be distributed between the Unionand the States(ii) Article 279 of the Constitution of Indiaread with Article 270 empowers theC&AG to ascertain and certify the netproceeds of taxes and duties levied andcollected by the Union and shall bedistributed between the Union and theStates. “Net Proceeds’ mean in relationto any tax or duties, the proceeds thereofreduced by the cost of collection.(iii) Based on the estimates for receiptsreceived from Department of Revenue(CBDT and CBIC) and the actuals for theprevious financial year received fromoffice of the Controller General ofAccounts (Finance Accounts format).Detailed working sheet showingcalculation of Tax Revenue, Net Divisible54BUDGET MANUALPool of Tax, non-shareable pool of Taxesand cost of collection, etc is preparedalso deducting the cost of collection andnon-shareable elements from the GrossTax Revenue portion. After applying theState-wise/tax-wise distribution formulaas per accepted recommendations ofFinance Commission, the resultantshareable proceeds as well as the Net toCentre portion of such proceeds, isarrived. [This procedure is also underimplementation in the UBIS System].(iv) After the Budget is passed in theParliament, taking into account theapproved estimates, the Devolution o fshareable Taxes and Duties is done onmonthly basis to States, as per acceptedrecommendations of FinanceCommission. Monthly sanctions areissued (Tax-wise/State-wise) through theUnion Budget Information System (UBIS)system to facilitate payment to Statesthrough PFMS/ issuance of cheques/advices through Pay & Accounts Officeand RBI. The releases are based onestimates of receipts, subject to finaladjustment according to the AuditCertificate issued by C&AG. Currently,the date of devolution is 10th of eachmonth w.e.f. the FY 2022-23. and thedistribution is as per the following details:The total estimated receipts, shareableto States are distributed into 14instalments and distributed accordingly.(v) Thereafter, the C&AG Certificate issuedwith respect to Net Proceeds for theprevious year is factored in toaccommodate the recommendedvariations in the Estimates for the currentyear. Finally, the Statement showingState-wise distribution of Net Proceeds ofUnion Taxes and Duties, as Annexure 4for the Budget Estimates, 4A for theRevised Estimates for the current financialyear and 4B showing Actuals for theprevious financial period are finalized forbeing incorporated in the Receipts Budget. Sl.No Component % ofBE/RE Equated monthly instalments Dates on which release is tobe madeA Corporation Tax &Income Tax 15% 3 (April to June) 10th of Every month(earlier it was 20th of eachMonth ) 50% 7 (July to January)35% 4 (February and March)B All Indirect Taxes 14 Equal instalments55BUDGET MANUALCHAPTER 6BUDGET REVIEW"
"DISCLOSURE STATEMENTS UNDER THE FISCAL RESPONSIBILIT  AND BUDGET MANAGEMENT RULES, 2004 FOR INCLUSION IN THE BUDGET"," The following statements are presentedas disclosure requirement under FRBM Act:i. Guarantees given by the Governmentii. Tax Revenues raised but not realizediii. Arrears of Non -Tax Revenuesiv. Asset Register Instructions issued vide Budget Division’sOM No. 2/11/2015-FRBM dated 22nd July,2015 may be referred to at the time ofpreparation these statements. C&AG in its reports have observeddisclosure statements contained inconsistencies/discrepancies relating to arrears of non-taxrevenues, loans to foreign governments,variation in closing and opening balances ofphysical and financial assets etc. whencompared to Union Government FinanceAccount. In view of this observation, allMinistries/Departments are required to ensureutmost accuracy in terms of reporting ofinformation in various documents includingdisclosure statements required under the Fiscal33BUDGET MANUALResponsibility and Budget Management Rules,2004. Variations, if any, with previous year’sreported information on any of the disclosurestatements, may be duly explained inappropriate footnotes. Statement of Guarantees should beextracted from the Register of Guaranteesmaintained by respective Ministries/Departments. Ministries/ Departments need toclassify their guarantees into six classes asmentioned in GFR, 2017. A revisedGovernment Guarantee Policy, 2022 has beenpublished in May, 2022. Ministries/Departments concerned willespecially be responsible for ensuring that thesetotals also tally with the information in the UnionGovernment’s Finance Accounts. Government of India has beenapproving Annuity projects in respect of someinfrastructure development activities. Under thismodel, the concessionaire (private sector) isrequired to meet the entire upfront/constructioncost (no grant is paid by the Government) andthe expenditure on annual maintenance. Theconcessionaire recovers the entire investmentand a pre-determined cost of return out of theannuities payable by the Government every year.Information in this regard should be providedin the prescribed format of Budget Circular. While preparing the above statementsparticular attention may be paid to the following:i. Values may be shown in crore of rupeesand not in lakhs/thousands e.g. an assetvalued at ` forty lakh may be shown as ` crore.ii. Consistency must be ensured in theinformation provided to Budget Divisionand the information that goes into therespective reports of the Comptroller andAuditor General of India on Direct andIndirect Taxes for the relevant year.iii. While reporting Non-Tax revenuearrears, information relating toguarantee fee arrears should bereconciled.iv. Variations, if any, with last year’s reportedinformation on any of the abovestatements, shall be explained infootnotes or appropriate remark portion.v. Whenever arrears of Non-Tax revenue ismore than ` 500 crore, reasons for thesame may be explained in appropriateremark portion.vi. Arrears of Non-Tax Revenue and AssetRegister Statements may be submitted inUBIS only. The statements duly signed bythe competent authority (with telephonenumber) may be forwarded to theDepartment of Economic Affairs.34BUDGET MANUAL35BUDGET MANUAL"
Distribution of Grants,"Ministry or authority on whose behalf aGrant or Appropriation is authorised byParliament shall distribute, where necessary,among the controlling and disbursing officerssubordinate to it. All Budget Controlling Officers/Drawingand Disbursing Officers will ensure thatexpenditure incurred is within the sanctionedamount."
Duties and Responsibilities of the Chief Accounting Authority,"Secretary of a Ministry/Department whois the Chief Accounting Authority of the Ministry/Department shall(i) be responsible and accountable forfinancial management of his/her Ministryor Department.(ii) ensure that the public funds appropriatedto the Ministry or Department are usedfor the purpose for which they weremeant.(iii)be responsibl e for the effecti ve, efficient ,economical and transp arent use ofthe resource s of the Mini stry orDepartmen t in achieving the statedproject objectives of that Ministry or53BUDGET MANUALDepartment, whilst complying withperformance standa rds.(iv) appear before the Committee on PublicAccounts and any other ParliamentaryCommittee for examination.(v) review and monitor regularly theperformance of the programmes andprojects assigned to his/ her Ministry todetermine whether stated objectives areachieved.(vi) be responsible for preparation ofexpenditure and other statementsrelating to his/her Ministry or Departmentas required by regulations, guidelines ordirectives issued by Ministry of Finance.(vii) shall ensure that his/her Ministry orDepartment maintains full and properrecords of financial transactions andadopts systems and procedures that willat all times afford internal controls.(viii) shall ensure that his/her Ministry orDepartment follows the Governmentprocurement procedure for execution ofworks, as well as for procurement ofservices and supplies, and implements itin a fair, equitable, transparent,competitive and cost-effective manner;(ix) shall take effective and appropriatesteps to ensure his/her Ministry orDepartment : -(a)collects all moneys due to theGovernment; and(b)avoids unauthorized, irregular andwasteful expenditure. As per provisions contained in Appendix10 to GFR 61 and 69, in case of an urgentrequirement of expenditure attracting theprovisions of New Service/New Instruments ofService and thereby supplementary demandsthrough the approval of Parliament, the sameshould be referred to Ministry of Finance. Theexcess expenditure in such cases can be allowedby the concerned Financial Advisers only on thespecific approval of Secretary (Expenditure) thatthe necessary funds will be made availablethrough the next batch of SupplementaryDemands for Grant."
EAP Component,
Estimates of Capital Receipts,"Estimates of Capital Receipts fromMinistries/ Departments will include receipts byway of loan repayments, disinvestment of equityholdings in Public Sector Enterprises, issue ofbonus shares by the PSEs in favour of CentralGovernment, and net receipts under PublicAccount transactions. Estimates of receipts by way of loanrepayments along with estimates of interestreceipts are also required to be furnished in theforms prescribed in the Budget Circular. In caseswhere such receipts are notional, for exampledue to write off of loans or re-financing throughfresh loans or conversion into equity, they shouldbe highlighted in the ‘Remarks’ column.Likewise, any modification in the terms ofrepayment, like extension of period ofmoratorium and/or repayment should also beclearly mentioned. The estimates should fullyreflect the endeavours to realize the amountsdue from various bodies. Estimates of receipts in respect of bonusshares, issued by Government companies infavour of the Central Government, classifiableunder Major Head ‘4000-Miscellaneous CapitalReceipts’ is required to be furnished by the ChiefController of Accounts in the form prescribedin the Budget Circular, with Company-wiseestimates. These estimates should correspondwith the provisions for related investmentsincluded on the expenditure side. Estimates of disinvestment of equityholdings in Public Sector Enterprises andDividend receipts are required to be furnished24BUDGET MANUALby Department of Investment and Public AssetManagement (DIPAM)."
ESTIMATES TO BE INCLUDED INDEMANDS FOR GRANTSCONTROLLED BY BUDGET DIVISION:," In case of Interest Payments, estimatesfor interest on provident fund balances ofemployees and on various deposits in the PublicAccount including Reserve Funds, deposits ofCommissioners of Payments and other items forinclusion in the Appropriation “InterestPayments” will be furnished by the ChiefControllers of Accounts/ Controllers ofAccounts, Ministry of Railways (Railway Board)and Ministry of Defence. Finance Wings of the Ministries/Departments are advised to ensure thatestimates of ‘Interest Payments’ are furnishedby their Controllers of Accounts to BudgetDivision. Any changes in Revised Estimates forthe current year and in Budget Estimates for thenext year will also be explained suitably by theestimating authority, while furnishing estimatesto Budget Division. Estimates of loans to Governmentservants should be accompanied by a Statementindicating actual disbursements under eachcategory of advance during the preceding threeyears and also actual expenditure in the first 6months of the current financial year. Theestimates and actuals may be furnished by theBudget Section of the concerned Ministry/Department. .4 Estimates and actual expenditure upto30th September shall be furnished to BudgetDivision in the form as per prescribed in theBudget Circular. The Ministries/Departmentsshould furnish the estimates of loans toGovernment Servants and recoveries thereof toMinistry of Finance as per the prescribed datein the Budget Circular."
Excess Grants,"It is the responsibility of Grant ControllingAuthority to ensure that excess expenditurebeyond limits authorized is not incurred. However, if the total expenditure undera Grant exceeds the provision allowed throughits original Grant and Supplementary Grant, ifany, the excess requires regularization byobtaining excess Grant from the Parliamentunder Article 115 of the Constitution."
FEATURES OF BUDGET,"Budget preparation in India is an iterativeprocess between the Ministry of Finance andline Ministries/Departments. The process commences with the BudgetDivision in the Ministry of Finance issuing the‘Budget Circular’ detailing instructions forpreparing estimates. Some of the salient features of UnionBudget are as fol lows:a. Budge t is prepared on Cash Basis:Whatever is expected to be actuallyreceived or paid under proper sanctionduring a financial year (including arrearsof the past years) should be budgeted inthat year.b. Rule of Lapse:All appropriations granted by theParliament expire at the end of financialyear. Unspent budget are not availablefor meeting the demands in the nextfinancial year. Thus, all unutilized fundswithin the year ‘lapse’ at the end of thefinancial year.c. Realistic Estimation:It is essential that each Demand hasrealistic estimates which are required forexpenditure in that year.d. Budget to be on Gross/Net Basis:Budget is prepared both on gross basisand net basis. Departments/Ministriesare normally not permitted to utilize thereceipts or deduct expenditure in theirbudget proposals. Net basis of budgetingis done in case of some Grants e.g.Ministry of Railways, Department of Posts,etc., where the departmental receipts areallowed to be utilized.e. Form of Estimates to correspond toAccounts:It is essential that the form in the budgetestimates correspond to that ofGovernment accounts as it is from theseaccounts that the performance of theGovernment is jud ged and estimation forsubsequent year made.CHAPTER 1INTRODUCTION T O THE BUDGET2BUDGET MANUALf. Estimates to be on Departmental Basis:Every Department prepares estimates forreceipts and expenditure separately.Generally, one Demand or Grant isallocated in respect of each Ministry/Department. In case of certain largeDepartments/Ministries more than oneDemand for Grants is allocated."
FINANCE BILL,"Finance Bill is introduced by the FinanceMinister immediately after the Annual FinancialStatement is presented in the Lok Sabha. Beinga Money Bill, it is introduced in the Lok Sabhawith the President’s recommendation underclause (1) of Article 117. After passing of theAppropriation Bill, Finance Bill is considered andpassed by the Parliament. In the case of FinanceBill, the procedure in Rajya Sabha is the sameas in the case of other Money Bills. As the Finance Bill is a Secret Bill, copiesthereof are not circulated to the Members twodays in advance of its introduction as requiredunder Direction 19 of ‘Directions by the Speaker’. Introduction of the Finance Bill cannotbe opposed. Under the provisions of theProvisional Collection of Taxes Act, 1931, thisBill is required to be passed by both the Housesand receive assent of the President within 75days of its introduction. The Speaker has heldthat the Finance Bill should not containamendments to both direct and indirect tax lawsif they are of a permanent nature and are notconsequential upon or incidental to the taxationproposals, and for that, a separate Bill i.e.Taxation Laws Amendment Bill should bebrought forward. The provisions of the Bill relating toimposition of customs and central excise dutiescome into force immediately on the expiry ofthe day on which the Bill is introduced by virtueof declaration under the Provisional Collectionof Taxes Act, 1931, contained in the Bill to theeffect that it is expedient in the public interestthat the provisions of certain clauses of the Billshall have immediate effect. Such a provisionhas the force of law and it will have effect for75 days or till the date of enactment of theFinance Bill, whichever is earlier. Although there is no bar to theintroduction of more than one Finance Billcontaining taxation proposals in a year, yet if asecond Finance Bill containing supplementarytaxation proposals is introduced, it has to bepreceded by Demands for Grants and theconnected Appropriation Bill. In other words,the sequence in regard to Budget, as providedin Articles 112 to 115 of the Constitution has tobe followed."
FINANCE COMMISSION," Based on the recommendations of theFinance Commission from time to time, thebudget provisions for a year are made afterearmarking the States’ share, to work out theNet Tax Revenues of the Union Governmentfrom the Gross Tax Revenues."
GENERAL DISCUSSIONS,"The Ministry of Parliamentary Affairs inconsultation with Ministry of Finance fixes thedates for General Discussions on the Budget,subsequent to the day of presentation of theBudget. The House is at liberty to discuss thebudget as a whole or any question of principleinvolved therein, but no motion can be movedat the time of General Discussion nor the Budgetis submitted to the vote of the House after theGeneral Discussion. The Finance Minister has a right to replyat the end of the discussions. The scope ofdiscussion at this stage is confined to generalexamination of the Budget, policy on taxationas expressed in the Budget Speech of the FinanceMinister and general schemes and structures etc.Specific points or issues can be discussed onthe floor of the House when relevant Demandsfor Grants or the Finance Bill is taken up. Officers not below the rank of UnderSecretaries are assigned to cover generaldiscussions on Budget and Finance Bill in boththe Houses of Parliament. They report importantpoints to their Heads of Divisions/Heads ofDepartments for preparing ‘Notes’ thereon.Such Notes are prepared promptly andsubmitted to the Finance Minister and should inno case be deferred to the following day if thediscussion is not concluded on that day. “Gistof Points” raised during the day are required tobe submitted to the Finance Minister. A specimenof the form to be used for submitting ‘Notes’ ispart of Annexure I of the Handbook ofParliamentary Procedure, issued by Ministry ofFinance. The Parliament Cell uploads theuncorrected version of verbatim record ofProceedings of both the Houses on the sameday or following day."
GENERAL GUIDELINES FOR PREPARATION OF ESTIMATES OF EXPENDITURE,"Estimates of expenditure are required tobe furnished to Budget Division for pre- Budgetdiscussions. These discussions are normallyscheduled to commence around mid-Octoberto decide the net budgetary ceilings of eachMinistry/Department and are chaired bySecretary (Expenditure) . While formulating expenditure estimates,Ministries/Departments should review theexisting Expenditure Budget in the first instance,to prioritize the activities and schemes, andidentify those activities and schemes, which canbe eliminated or reduced in size or merged withany other scheme. Estimates of Ministries/Departments should conform to the projectionscontained in the MTEF Statement released byMinistry of Finance. Departments should ensure that allschemes that have been discontinued, do notfind mention in Revised Estimates of the currentyear. Similarly, schemes that are not to continuebeyond the current year should not be includedfor Budget Estimates of ensuing year. A mentionof the schemes discontinued or merged shouldbe made in the notes below the Statement ofBudget Estimates. Under standing instructions of thisMinistry, no provision should normally be madein the Budget without completion of pre-Budgetscrutiny/appraisal of a project/scheme. Where,however, provision has been made without thenecessary scrutiny, such scrutiny should becompleted and appropriate approvals obtained25BUDGET MANUALbefore the commencement of the financial yearand passing of Budget by the Parliament. While framing estimates, due note mayalso be taken of the past performance, thestages of formulation/implementation of thevarious schemes, the institutional capacity of theimplementing agencies to implement thescheme as scheduled, constraints on spendingby the spending agencies, and most importantly,the quantum of Government assistance lyingwith the recipients unutilized etc. with a view tominimize the scope for surrenders at a laterstage. The Public Accounts Committee requiresthat savings in a Grant amounting to `100 croreand above be explained to the Committee. Theother Parliamentary Committees have also beenrepeatedly expressing concern over incidenceof large savings in Grants. Budget Division has issued instructionson the need for individual Ministry/ Departmentto put in place effective mechanism forrealistically assessing their requirement of fundsso that unwarranted surrender of savings isavoided at a later date. No provision may be made in theestablishment Budget for posts, which are lyingvacant for one year or more. Even otherwise,provisioning for vacant posts should be madewith circumspection so as to avoid chances ofeventual savings due to these vacant posts notbeing filled up."
Gross Budgetary Support,
"In the year in which General Elections tothe Lok Sabha are held, the interim Budget ispresented to Parliament. After the GeneralElections are over and assumption of office bythe new Government, the Regular Budget ispresented to Parliament on a date as decided bythe new Government.",
INFORMATION FOR PRE BUDGETDISCUSSIONS," Ministries/Departments shall submittheir Budget Proposals in the form of ProvisionalStatement of Budget Estimates (SBE). They shallthen submit the hard copies of SBEs in properformat to respective sections in the BudgetDivision. .2 While preparing SBE, followinginstructions should be strictly followed:i. In SBEs the schemes will be depicted, upto a maximum of three levels only asgiven below:a.Umbrella Schemesb.Schemesc.Sub-Schemesii. All schemes would be categorized aseither Centrally Sponsored Schemes orCentral Sector Schemes including theprovision for North East and Sikkim.iii. If a scheme has EAP component and/orfunded from a Fund in the Public Account(in case of say funding from cesses) thenthe components have to be separatelydepicted at the sub-scheme level asbelow:a.Gross Budgetary Supportb.EAP Componentc.Amount met from (Name of Fund)iv. Entries related to transfer to Fund and theamount met from Fund, whereverapplicable , will be shown as two separateentries in the SBEs below the schemeswhich are funded from it. In case theutilization of the Public Account Fund istowards a Centrally Sponsored Scheme,then transfer of the corresponding amountshould be made from the major head3601/3602 to ensure that the transfersto States are not understated.v. Entries related to interest payments andre-payment of Principal of Governmentof India funded service Bonds wouldneed to be shown separately as a lineentry under the schemes from whichsuch interest is being paid. An example26BUDGET MANUALcomprising of all the above-mentionedscenario is shown in the table below:Note:Total of Sl. No. 10 will be equal toSl. No. and Sl. No. .*Provisions relating ‘transfers to’ and ‘amountmet from’ any reserve fund may not be madefrom Major Heads denoting North EasternAreas viz. ‘2552’, ‘4552’ and ‘6552’ as theseheads are used to disclose the transitoryprovisions, which will ultimately bere-appropriated to functional Major Headsat the time of incurring expenditure. Suchprovisions (‘transfers to/amount met from’)may be made under the relevant functionalheads.vi. Scheme allocation would continue to beprepared major head-wise. Thisinformation would be used to generatethe DG, Part B of the SBE and thestatements in Budget Profile.vii. In case of the SBE, the CentralGovernment expenditure has beenclassified into six broad categoriesindicated below:A.Centre’s Expenditure:(i)Establishment Expenditure of theCentre;(ii) Central Sector Schemes;(iii)Other Central Expenditure, includingthose on CPSEs and AutonomousBodies;B.Centrally Sponsored Schemes andother Transfers:(iv)Centrally Sponsored Schemes;(v)Finance Commission Transfers; and(vi)Other transfers to States.viii. In the SBE, all budget lines should becategorized into one of the six categories.In case the existing line/umbrella schemehas items which belong to more than oneof the six categories, then the existing linewould need to be broken up andadjusted suitably under relevantcategories.ix For instance, if there is an existingumbrella ‘Welfare of Children’ which hasa central sector scheme and directassistance to an autonomous body (i.e.untied GIA and not under the scheme),then the umbrella scheme would needto be broken up and the Central SectorScheme would go under category ii–Central Sector Schemes, and the Actual/BE/RE/BEIV Centrally SponsoredSchemes Revenue Capital Total"
Instructions related to allocation for SC/ST sub-component NITI Aayog," vide O.M. No.M-11011/8/2017-SJE dated .2017 read with O.M.No.M-11011/15/2018-SJE dated .2019have issued comprehensive guidelines forallocation of funds for the welfare of ScheduledCastes and Scheduled Tribes. However, theseguidelines are under review in NITI Ayog andfresh guidelines are expected to be issued indue course. The obligated Ministries/Departments shall invariably keep the requiredpercentage of allocation under SCSP and TASP ,as stipulated in the NITI’s guidelines ibid andeven make endeavor to keep higher percentageof allocation, wherever possible. Total allocation for Centrally Sponsoredand Central Sector schemes of the obligatedMinistries shall be taken for calculation ofpercentage of earmarking of funds under SCSPand TASP . Ministries/Departments may ensurethat the allocation under SCSP/TASP shall notbe less than Budget Estimates of previous year. As decided in the meeting held on in NITI Aayog, requests forexemption from earmarking or incurringexpenditure for SCSP & TASP by the obligatedMinistries/Departments, if any, shall beconsidered by the nodal Ministries i.e. Ministryof Social Justice & Empowerment for SCSP andMinistry of Tribal Affairs for TASP with theapproval of their Ministers. At the time of pre-Budget meetings,a comprehensive review of progress ofexpenditure under SCSP (Minor Head 789) andTASP (Minor Head 796) of the obligatedMinistries/Departments will be undertaken. TheMinistries/ Departments will be required to feedthe relevant data in UBIS for review andconsideration in pre- Budget meeting."
Interest under EBR (e.g.HEFA ),
INTERNAL AUDIT,"Concurrent examination of theaccounting and financial records, of systemsand procedures, and of compliance with statedmanagement policies, are essential elements ofpublic policy. Accordingly each Ministry andDepartment of the Union Government has aspecial unit under the direct control andsupervision of Financial Advisers. The importantfindings of this unit are submitted to theSecretaries of the Ministries concerned fornecessary corrective action. As per Revised Redefined Charter forFinancial Advisers, the following functions inrelation to Internal Audit will be carried out bythe Chief Controllers of Accounts as per theguidelines issued by the Controller General ofAccounts from time to time-(i) Appraisal, monitoring and evaluation ofindividual schemes;(ii) Assessment of adequacy andeffectiveness of internal controls ingeneral, and soundness of financialsystems and reliability of financial andaccounting reports in particular;(iii) Identification and monitoring of riskfactors including those contained in theOutcome Budget;(iv) Critical assessment of economy,efficiency and effectiveness of servicedelivery mechanism to ensure value formoney; and(v) Providing an effective monitoring systemto facilitate mid-course corrections."
MATERIAL FOR STATEMENTS TO BEAPPENDED TO DEMANDS FORGRANTS:, Statement showing items of new servicefor which provision is made in BE of the ensuingfinancial year should be furnished to Ministryof Finance. Information so furnished for inclusionin Demands for Grants should exactly matchthe information included in the DetailedDemand for Grant of the respective Ministry/Department. Attention is invited to Department ofEconomic Affairs’ O.M. No.F .1 (23)-B(AC)/2005dated .2006 on Revised Guidelines onFinancial Limits to be observed in determiningcases relating to “New Service/ New Instrumentof Service”.
MERGER OF RAIL BUDGET WITH GENERAL BUDGET,"Merger of Railway Budget with GeneralBudget was one of the landmark budgetaryreforms implemented from the Budget forFY 2017-18. The presentation of separate Railwaybudget started in the year 1924, and continuedafter independence as a convention rather thanunder Constitutional provisions. Thepresentation of a unified budget is to bring theaffairs of the Railways to centre stage andpresent a holistic picture of the financial positionof the Government. The merger is expected toreduce the procedural requirements and insteadbring into focus, the aspects of delivery andgood governance. Consequent to the merger,the appropriations for Railways are, now, partof the main Appropriation Bill. The arrangements for merger of Railwaybudget with the General budget were approvedby the Cabinet with the following administrativeand financial arrangements:(i) The Railways continue to maintain itsdistinct entity as a departmentally runcommercial undertaking as at present;(ii) Railways retain their functional autonomyand delegation of financial powers etc.as per the existing guidelines;(iii) The existing financial arrangementscontinue wherein Railways meet all theirrevenue expenditure, including ordinaryworking expenses, pay and allowancesand pensions etc. from their revenuereceipts;(iv) The Capital at charge of the Railwayswas wiped off; and(v) Ministry of Railways get Gross Budgetarysupport towards meeting part of itscapital expenditure as in the past. A formal and public presentation ofrailway budget created pressure for large publicannouncements on introduction of new trainsand new projects without detailed analysis oftheir need or financial viability. With the merger of Railway Budget withGeneral Budget, the scrutiny of RailwayEstimates is made in Ministry of Finance during8BUDGET MANUALmid-year review with focus on optimal utilisationof resources and railway infrastructure withoutgetting into unbridled public announcements.This exercise also takes into account theperformance of Railways in the previous yearand during the current year for revising thetarget for revenue realisation and expenditureset in the budget. With this specific reform, the number ofDemands for Grants operated by Railways hasbeen reduced from 16 to 1.9BUDGET MANUAL"
MID-TERM EVALUATION OFINDIVIDUAL SCHEMES BY DIFFERENT DEPARTMENTS,"The Cabinet Secretary had advised(December, 2002) all the Ministries/Departments to carry out evaluation of all theongoing schemes/ programmes/ projects whichhave not been evaluated so far. While appraising the schemes forcontinuation, DoE inisists for third partyindependent evaluation. OM No.42(02)/PF-II/2014 dated .2020 may be referred to inthis regard."
MONITORING AND EVALUATION,"Development Monitoring and EvaluationOffice (DMEO) as an apex Monitoring andEvaluation (M&E) office which supports theGovernment to achieve the nationaldevelopment agenda through M & E ofgovernment policies and programs. DMEO was established on 18thSeptember, 2015 as an attached office of theNITI Aayog by merging the erstwhile ProgramEvaluation Office and Independent EvaluationOffice. To ensure that DMEO is able to functionindependently, it has been given separate56BUDGET MANUALbudgetary allocations and manpower inaddition to complete functional autonomy. DMEO’s mandate involves;i. Monitoring progress and efficacy ofstrategic and long-term policy andprogram frameworks and initiatives tohelp innovative improvements, includingnecessary mid-course corrections; andii. Actively monitoring and evaluating theimplementation of programs andinitiatives, including the identification ofthe needed resources so as to strengthenthe probability of success and scope ofdelivery.iii. Technical advisory to States, under NITIAayog’s mandate of cooperative andcompetitive federalism."
NITI AAYOG," NITI Aayog (National Institution forTransforming India) came into existence on 1stJanuary, 2015 replacing erstwhile Planning17BUDGET MANUALCommission. NITI Aayog serves as a Think Tankof the Government, and provides Governmentsat the central and state levels with relevantstrategic and techinical advice across spectrumof key elements of policy. Apart from providingadvice on general policy matters, NITI Aayogalso helps in specific task of finalising OutputOutcome Monitoring Framework (OOMF)which brings out meassurable outputs andoutcomes of outlays made to difficult schemes."
